class,ANN_AAC,RF_AAC,KNN_AAC,ERT_AAC,XGB_AAC,ANN_DPC,RF_DPC,KNN_DPC,ERT_DPC,XGB_DPC,ANN_CKSAAGP,RF_CKSAAGP,KNN_CKSAAGP,ERT_CKSAAGP,XGB_CKSAAGP,ANN_PAAC,RF_PAAC,KNN_PAAC,ERT_PAAC,XGB_PAAC,ANN_PHYC,RF_PHYC,KNN_PHYC,ERT_PHYC,XGB_PHYC
1,0.009461166645708124,0.36,0.2,0.28,0.5697739124298096,0.026439172772851634,0.27,0.6,0.22,0.34340691566467285,0.012616542155431038,0.21,0.2,0.3,0.027935093268752098,0.10039672138578234,0.21,0.4,0.25,0.01100147608667612,0.029283432375942182,0.35,0.2,0.16,0.13575732707977295
1,0.9982601047855943,0.86,1.0,0.87,0.9968410730361938,0.9988045840056552,0.82,1.0,0.8,0.98420250415802,0.8642505308523006,0.63,1.0,0.69,0.9730321168899536,0.9869659091092092,0.96,1.0,0.85,0.9991230368614197,0.6947941678866923,0.93,1.0,0.94,0.9850316047668457
1,0.99672385339455,0.92,1.0,1.0,0.9826768040657043,0.999821695982192,1.0,1.0,1.0,0.9967537522315979,0.9297506350364187,0.98,1.0,0.98,0.9986957907676697,0.9898337941813247,0.99,1.0,1.0,0.9987468719482422,0.745352267335195,0.98,1.0,0.96,0.9974232912063599
1,0.005284144771700482,0.55,0.2,0.5,0.9801913499832153,0.887338199866273,0.53,1.0,0.51,0.2477618008852005,0.7028297845736574,0.45,1.0,0.45,0.6688881516456604,0.10516641510085181,0.63,0.2,0.6,0.6168425679206848,0.14150446534430755,0.23,0.4,0.12,0.024538639932870865
1,0.818246178510745,0.59,0.6,0.5,0.7519323229789734,0.8798218527116809,0.5,1.0,0.53,0.07861536741256714,0.8633725161061822,0.63,1.0,0.6,0.8223394155502319,0.5753937549997662,0.5,0.2,0.45,0.39733099937438965,0.46756616491816183,0.43,0.4,0.48,0.06582461297512054
1,0.9965655835057109,0.85,1.0,0.83,0.9770195484161377,0.9936999438061455,0.67,1.0,0.84,0.4837879240512848,0.6677577097372878,0.77,0.8,0.54,0.8961108922958374,0.990021167539358,0.71,1.0,0.78,0.9329116344451904,0.3393460891967876,0.2,0.2,0.36,0.06951481848955154
1,0.9926746362207338,1.0,1.0,1.0,0.9981372356414795,0.9996797923165341,0.99,1.0,0.99,0.999538779258728,0.8788830462686966,0.95,1.0,0.97,0.9982818365097046,0.9982079600614391,1.0,1.0,0.99,0.9998273253440857,0.8122902139298797,0.92,1.0,0.88,0.9690458178520203
1,0.9807030249380121,0.98,1.0,0.91,0.9928218722343445,0.99588063852425,0.94,1.0,0.94,0.9844924211502075,0.703270303711852,0.79,1.0,0.85,0.9752680063247681,0.9640083026912111,0.77,1.0,0.88,0.7693383097648621,0.5961370240560215,0.7,0.4,0.77,0.9585171937942505
1,0.9982036093168418,0.87,1.0,0.92,0.9972414970397949,0.9965590977343832,0.95,1.0,0.9,0.9987492561340332,0.6096636716476339,0.97,1.0,0.91,0.9990010857582092,0.9999896990636777,0.96,1.0,0.96,0.9995506405830383,0.3224554333480278,0.66,0.4,0.63,0.8866596221923828
1,0.99751767512846,0.48,1.0,0.7,0.7404612302780151,0.9994313820383722,0.75,1.0,0.79,0.982111930847168,0.07060665817091655,0.42,1.0,0.6,0.8139179348945618,0.9674847265393658,0.69,1.0,0.76,0.9329385161399841,0.36094241092591034,0.4,0.2,0.39,0.27313321828842163
1,0.9773855844807243,0.49,1.0,0.41,0.5903719663619995,0.9971994914902039,0.53,1.0,0.66,0.2853638529777527,0.39489381174054994,0.28,1.0,0.4,0.5203054547309875,0.4510265357889845,0.5,0.2,0.48,0.7518706917762756,0.5437402523032735,0.64,0.2,0.66,0.6247276663780212
1,0.185693942603153,0.45,0.6,0.48,0.7343388199806213,0.9320969838103478,0.54,1.0,0.66,0.4084976017475128,0.05295276966766773,0.42,0.4,0.28,0.08688362687826157,0.3403187244019405,0.26,1.0,0.35,0.013562985695898533,0.2813252130669383,0.32,0.6,0.26,0.2985183596611023
