class,ANN_AAC,RF_AAC,KNN_AAC,ERT_AAC,XGB_AAC,ANN_DPC,RF_DPC,KNN_DPC,ERT_DPC,XGB_DPC,ANN_CKSAAGP,RF_CKSAAGP,KNN_CKSAAGP,ERT_CKSAAGP,XGB_CKSAAGP,ANN_PAAC,RF_PAAC,KNN_PAAC,ERT_PAAC,XGB_PAAC,ANN_PHYC,RF_PHYC,KNN_PHYC,ERT_PHYC,XGB_PHYC
1,0.9958321115823495,0.64,1.0,0.72,0.9945176243782043,0.9759599296985632,0.78,1.0,0.85,0.97113436460495,0.46624110285681475,0.58,0.6,0.55,0.04143090173602104,0.9507507412235415,0.66,0.4,0.76,0.9979739785194397,0.7731520006993591,0.81,0.4,0.82,0.9976135492324829
1,0.9988129003978727,0.92,1.0,0.95,0.9919235110282898,0.9999479652350466,0.91,1.0,0.96,0.9887052178382874,0.8516742322288706,0.89,1.0,0.92,0.9974308609962463,0.9079099152846627,0.8,1.0,0.8,0.9875966906547546,0.9094672347541589,0.98,1.0,0.95,0.9987164735794067
1,0.9997238086045938,0.97,1.0,0.99,0.9995331764221191,0.9999956920060904,1.0,1.0,1.0,0.999893069267273,0.9849962093342884,1.0,1.0,1.0,0.9997085928916931,0.9936255494653994,1.0,1.0,1.0,0.9997344613075256,0.9528940067848692,1.0,1.0,1.0,0.9883629679679871
1,0.9994758071287992,0.98,1.0,0.99,0.9998317956924438,0.9999885778697968,1.0,1.0,1.0,0.9964136481285095,0.951482178936732,0.99,1.0,0.98,0.9990907907485962,0.97728510846128,0.95,1.0,1.0,0.998993456363678,0.9255151352547482,0.99,1.0,1.0,0.9982479810714722
1,0.9905046614526004,0.86,1.0,0.86,0.9329276084899902,0.9997694348551215,0.85,1.0,0.98,0.9989150762557983,0.8763695389432551,0.83,1.0,0.84,0.9965380430221558,0.8242963765055513,0.84,1.0,0.89,0.996250331401825,0.8241463316183762,0.83,0.8,0.84,0.9748340845108032
1,0.995504314089629,0.87,1.0,0.92,0.7454007863998413,0.9998896995163336,0.95,1.0,0.98,0.9984304308891296,0.814804202946789,0.84,1.0,0.78,0.9846726059913635,0.9898483093912689,0.8,1.0,0.77,0.903985857963562,0.5401087414398241,0.28,0.6,0.29,0.04639939218759537
1,0.9985135778844006,0.94,1.0,0.93,0.9989333748817444,0.9999093716056867,0.86,1.0,0.91,0.9797245264053345,0.7612681902111926,0.73,0.6,0.63,0.9559869766235352,0.9975056492940034,0.87,1.0,0.87,0.99892657995224,0.8999311074176014,0.89,0.6,0.87,0.987950325012207
1,0.0005070298308875439,0.5,0.2,0.35,0.8128474950790405,0.00014227691282802881,0.38,0.2,0.31,0.5489303469657898,0.0158356279677222,0.41,0.0,0.39,0.23716962337493896,0.1850729954781351,0.34,0.8,0.35,0.1454320251941681,0.09366547437078275,0.5,0.0,0.38,0.8597632050514221
1,0.9987424533068527,0.95,1.0,0.89,0.9985378980636597,0.9999778596914377,0.89,1.0,0.86,0.9983628392219543,0.9831353500525629,0.88,1.0,0.82,0.9768997430801392,0.9982363577406613,0.95,1.0,0.84,0.9975574016571045,0.9271051509155257,1.0,1.0,0.99,0.9910818338394165
1,0.9997437233459336,1.0,1.0,1.0,0.9998148083686829,0.9999980268328471,1.0,1.0,1.0,0.9997996687889099,0.9811766452971868,0.99,1.0,1.0,0.99988853931427,0.9933537718588296,0.98,1.0,0.99,0.99977046251297,0.961801796180379,0.99,0.8,0.99,0.996975302696228
