,class,KNN_PAAC,KNN_DPC,ERT_CKSAAGP,KNN_AAC,ANN_DPC,ANN_AAC,KNN_CKSAAGP,KNN_PHYC,XGB_DPC
114,1,1.0,1.0,1.0,1.0,0.9999987988908074,0.9975787887936182,1.0,1.0,0.9999053478240968
115,1,1.0,1.0,1.0,1.0,0.9999988928566024,0.9974360014082828,1.0,1.0,0.9995768666267396
116,1,1.0,1.0,0.99,1.0,0.9999984387034966,0.9950193856947692,1.0,1.0,0.9997718930244446
117,1,1.0,1.0,0.98,1.0,0.9999996115665648,0.9970734842152834,1.0,1.0,0.9995859265327454
118,1,1.0,1.0,1.0,1.0,0.9999998629721376,0.9973551374791404,1.0,0.8,0.9994710087776184
119,1,1.0,1.0,1.0,1.0,0.9999992787513532,0.998982992090396,1.0,1.0,0.9995545744895936
120,1,1.0,1.0,1.0,1.0,0.9999975020464664,0.9997507174792368,1.0,1.0,0.9999384880065918
121,1,1.0,1.0,0.94,1.0,0.9999991539951184,0.9979996071549228,1.0,1.0,0.9991135001182556
122,1,1.0,1.0,0.98,1.0,0.9999997770244649,0.9980185857905508,1.0,1.0,0.9998912811279296
123,1,1.0,1.0,0.98,1.0,0.9999990361210944,0.9977245040438916,1.0,1.0,0.9996447563171388
124,1,1.0,1.0,0.69,1.0,0.011311148138203123,0.9983667575015868,1.0,1.0,0.769944429397583
125,1,1.0,0.8,0.69,1.0,0.9988530168682712,0.9919200724786428,0.8,0.6,0.8239787817001343
126,1,1.0,1.0,0.84,1.0,0.9998254214132152,0.9938336349818956,1.0,0.6,0.8642935156822205
127,1,1.0,0.8,0.86,1.0,0.9935901025369136,0.9935552178587818,1.0,1.0,0.9846624135971068
128,1,1.0,0.8,0.63,1.0,0.990727068926964,0.9871402844152044,0.6,0.8,0.9364647865295409
129,1,0.8,1.0,0.74,1.0,0.9998853832661936,0.9821816646648068,1.0,0.4,0.9923192858695984
130,1,1.0,0.8,0.92,1.0,0.9975864240002112,0.953127659062616,1.0,1.0,0.9925720095634459
131,1,0.8,0.4,0.79,1.0,0.9877171528974178,0.8447050185576777,0.6,0.6,0.7232529520988464
132,1,1.0,1.0,0.94,1.0,0.9999987761824314,0.9989893694727914,1.0,0.8,0.9998964071273804
133,1,0.0,0.0,0.35,0.0,0.006763240376459736,0.06607806660907528,0.2,0.2,0.6319987773895264
134,1,0.6,0.0,0.33,0.0,0.00016674270611566255,0.00022387456551155045,0.0,0.2,0.17539732158184052
135,1,0.4,0.0,0.51,0.4,0.008750739637519371,0.34803946925088025,0.0,0.4,0.6177657246589661
136,1,1.0,0.6,0.93,0.6,0.9999370174169244,0.9997223805794956,0.6,0.6,0.9816948771476746
137,1,0.4,1.0,0.93,0.6,0.9993126675849348,0.7724271484952651,1.0,0.6,0.9913560152053832
138,1,0.8,0.8,0.72,0.6,0.9994447838323268,0.8392170681178847,0.8,0.2,0.9867895245552064
139,1,0.8,0.8,0.67,0.8,0.999511504264454,0.9778608513525824,0.8,0.8,0.9383308887481691
140,1,1.0,0.4,0.66,0.8,0.9436753475188571,0.9909269831965544,0.2,0.4,0.8633849024772644
141,1,0.8,0.6,0.86,0.6,0.9955712197159942,0.9999897387613806,0.8,0.2,0.9924986958503724
142,1,1.0,0.4,0.52,0.4,0.002388554363994652,0.7163973517137635,0.2,0.6,0.881804347038269
143,1,0.6,1.0,0.84,1.0,0.9995536236055445,0.9552689316130204,1.0,1.0,0.9943828582763672
